股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap,T+5最新收盤價,T+5漲跌幅(%),T+10最新收盤價,T+10漲跌幅(%)
2340,台亞,TSE,34.9,36.06,37.93,98,0,"(-144, -19, +98)","(-4, -14, +0)",4659,【散戶套牢資 / 留意斷頭】,False,False,True,32.4,-0.15,25.05,-22.8
5289,宜鼎,OTC,1395.0,1471.0,1634.75,98,6,"(-213, +5, +98)","(+1, +0, +6)",1957,【散戶套牢資 / 留意斷頭】,False,False,True,1370.0,7.45,1180.0,-7.45
3376,新日興,TSE,194.5,195.9,198.18,97,-36,"(-165, +153, +97)","(-57, +0, -36)",2032,【散戶套牢資 / 留意斷頭】,False,False,True,191.5,2.41,160.0,-14.44
2421,建準,TSE,135.0,137.6,143.18,94,-5,"(-151, -39, +94)","(+1, +11, -5)",1606,【散戶套牢資 / 留意斷頭】,False,False,True,133.5,5.12,120.5,-5.12
2474,可成,TSE,189.0,191.5,196.04,93,-8,"(-823, -126, +93)","(-1, +8, -8)",2744,【散戶套牢資 / 留意斷頭】,False,False,True,192.0,2.95,178.5,-4.29
6901,鑽石投資,TSE,19.1,19.33,18.7,93,2,"(+130, +37, +93)","(+59, +11, +2)",4094,一般資增,False,False,False,17.15,-6.54,15.75,-14.17
2405,輔信,TSE,17.2,17.32,17.56,90,-4,"(-132, +20, +90)","(+17, +15, -4)",2373,【散戶套牢資 / 留意斷頭】,False,False,True,16.65,0.3,14.8,-10.84
2061,風青,OTC,63.0,68.12,67.77,89,11,"(+364, +191, +89)","(-16, +8, +11)",3232,【散戶套牢資 / 留意斷頭】,False,False,True,52.7,-7.05,51.2,-9.7
5392,能率,OTC,44.55,45.37,45.84,87,-2,"(-137, +85, +87)","(-14, -3, -2)",1837,【散戶套牢資 / 留意斷頭】,False,False,True,41.55,-2.46,34.4,-19.25
3236,千如,OTC,53.7,56.18,63.93,85,34,"(-521, +147, +85)","(-76, -12, +34)",4472,【散戶套牢資 / 留意斷頭】,False,False,True,44.75,-7.45,35.25,-27.09
3048,益登,TSE,55.8,57.18,62.56,81,-1,"(-625, -20, +81)","(+29, +2, -1)",2311,【散戶套牢資 / 留意斷頭】,False,False,True,50.8,0.2,42.75,-15.68
8104,錸寶,TSE,37.1,39.21,39.49,81,-18,"(-110, -43, +81)","(-64, +3, -18)",1005,【散戶套牢資 / 留意斷頭】,False,False,True,33.6,-2.04,28.1,-18.08
5904,寶雅,OTC,62.3,64.85,65.23,81,0,"(-1, +35, +81)","(+0, +0, +0)",6409,【散戶套牢資 / 留意斷頭】,False,False,True,63.5,3.25,72.0,17.07
3363,上詮,OTC,555.0,588.0,606.2,80,-31,"(-267, +43, +80)","(-59, +6, -31)",1923,【散戶套牢資 / 留意斷頭】,False,False,True,589.0,16.87,437.0,-13.29
2399,映泰,TSE,40.65,43.3,48.59,74,-65,"(-151, +105, +74)","(-194, -42, -65)",4752,【散戶套牢資 / 留意斷頭】,False,False,True,38.8,4.02,30.4,-18.5
2498,宏達電,TSE,43.35,43.92,44.88,74,-138,"(-138, -189, +74)","(+422, -152, -138)",4618,【散戶套牢資 / 留意斷頭】,False,False,True,41.9,2.07,37.85,-7.8
3605,宏致,TSE,84.9,87.6,84.01,72,9,"(-746, +102, +72)","(-72, -7, +9)",5034,一般資增,False,False,False,94.5,19.17,78.3,-1.26
6451,訊芯-KY,TSE,476.76,484.26,540.73,72,-5,"(-815, +164, +72)","(-56, -30, -5)",2746,【散戶套牢資 / 留意斷頭】,False,False,True,445.28,3.73,322.0,-24.99
6179,亞通,OTC,27.0,27.67,26.93,72,-1,"(-129, -35, +72)","(-2, +10, -1)",1884,一般資增,False,False,False,25.8,4.03,22.85,-7.86
2465,麗臺,TSE,80.8,84.88,78.36,70,-2,"(-101, +23, +70)","(+8, -13, -2)",3469,一般資增,False,False,False,82.7,8.25,67.6,-11.52
3346,麗清,TSE,22.3,23.58,25.51,70,2,"(-16, -29, +70)","(-5, +0, +2)",1007,【散戶套牢資 / 留意斷頭】,False,False,True,21.0,1.45,18.2,-12.08
2402,毅嘉,TSE,61.0,61.21,63.72,68,-15,"(-126, +12, +68)","(-37, -28, -15)",1942,【散戶套牢資 / 留意斷頭】,False,False,True,57.34,1.71,48.4,-14.14
5285,界霖,TSE,92.3,93.5,98.01,68,3,"(-622, -12, +68)","(+12, +2, +3)",1686,【散戶套牢資 / 留意斷頭】,False,False,True,80.1,-5.88,64.8,-23.85
6191,精成科,TSE,93.5,97.82,100.28,66,21,"(-656, +142, +66)","(-25, +0, +21)",4556,【散戶套牢資 / 留意斷頭】,False,False,True,89.8,0.67,77.4,-13.23
3455,由田,OTC,218.0,225.9,240.15,60,-26,"(-153, +102, +60)","(-32, -2, -26)",1125,【散戶套牢資 / 留意斷頭】,False,False,True,201.0,0.5,150.5,-24.75
6207,雷科,OTC,139.9,141.09,147.19,58,0,"(-651, +180, +58)","(-3, +0, +0)",12234,【散戶套牢資 / 留意斷頭】,False,False,True,121.0,-7.28,86.8,-33.49
3707,漢磊,OTC,75.5,79.62,84.4,57,290,"(+5, +12, +57)","(-165, -197, +290)",14835,【散戶套牢資 / 留意斷頭】,False,False,True,65.3,-4.95,48.75,-29.04
2428,興勤,TSE,289.0,299.1,309.07,56,0,"(-236, +84, +56)","(-4, +0, +0)",1414,【散戶套牢資 / 留意斷頭】,False,False,True,250.5,-5.11,199.0,-24.62
1795,美時,TSE,198.0,200.1,196.43,54,4,"(-7, +6, +54)","(+44, -81, +4)",1837,一般資增,False,False,False,188.5,0.27,173.0,-7.98
4906,正文,TSE,37.75,38.56,41.59,54,18,"(-494, -25, +54)","(-22, +10, +18)",4412,【散戶套牢資 / 留意斷頭】,False,False,True,35.45,-0.56,28.95,-18.79
3305,昇貿,TSE,120.0,120.48,130.1,53,4,"(-563, +182, +53)","(+0, +1, +4)",1750,【散戶套牢資 / 留意斷頭】,False,False,True,113.0,3.67,90.5,-16.97
1584,精剛,OTC,20.05,20.13,19.48,53,0,"(-23, +2, +53)","(+0, -2, +0)",1101,一般資增,False,False,False,19.5,1.3,16.85,-12.47
2885,元大金,TSE,64.79,65.47,65.55,51,0,"(-36, +294, +51)","(-35, +0, +0)",20833,【散戶套牢資 / 留意斷頭】,False,False,True,63.3,0.25,63.1,-0.06
4927,泰鼎-KY,TSE,39.3,40.23,44.95,51,-115,"(-1133, +102, +51)","(-99, +7, -115)",2851,【散戶套牢資 / 留意斷頭】,False,False,True,35.65,-2.33,26.9,-26.3
4973,廣穎,OTC,151.0,158.9,170.07,51,-32,"(-104, +11, +51)","(+29, +0, -32)",1478,【散戶套牢資 / 留意斷頭】,False,False,True,142.5,1.06,117.5,-16.67
6121,新普,OTC,386.5,392.64,407.73,51,0,"(+4, +37, +51)","(+0, +0, +0)",1033,【散戶套牢資 / 留意斷頭】,False,False,True,379.0,2.29,346.5,-6.48
6620,漢達,OTC,89.4,90.34,95.09,50,0,"(+17, +86, +50)","(+0, -1, +0)",1025,【散戶套牢資 / 留意斷頭】,False,False,True,84.8,-1.97,96.3,11.33
6456,GIS-KY,TSE,69.7,70.28,70.29,46,2,"(-103, +61, +46)","(-3, +20, +2)",3151,【散戶套牢資 / 留意斷頭】,False,False,True,67.4,4.01,51.2,-20.99
1215,卜蜂,TSE,112.5,112.6,113.35,44,0,"(+9, +1, +44)","(+0, +0, +0)",1001,【散戶套牢資 / 留意斷頭】,False,False,True,109.5,-0.9,107.0,-3.17
4526,東台,TSE,33.97,34.86,37.78,44,-3,"(-425, +54, +44)","(-17, +1, -3)",1900,【散戶套牢資 / 留意斷頭】,False,False,True,30.36,-3.23,25.2,-19.66
3221,台嘉碩,OTC,54.3,54.54,57.89,44,37,"(-246, -13, +44)","(+2, -1, +37)",3598,【散戶套牢資 / 留意斷頭】,False,False,True,45.15,-7.76,40.2,-17.88
3380,明泰,TSE,32.2,32.54,33.35,43,3,"(+13, +37, +43)","(+0, +0, +3)",1390,【散戶套牢資 / 留意斷頭】,False,False,True,30.6,2.68,25.9,-13.09
6026,福邦證,OTC,14.7,15.07,15.54,43,0,"(-120, +89, +43)","(-10, +0, +0)",1535,【散戶套牢資 / 留意斷頭】,False,False,True,14.4,2.13,13.35,-5.32
2645,長榮航太,TSE,231.5,240.2,203.82,42,-11,"(-310, -2, +42)","(+2, +15, -11)",6588,一般資增,False,False,False,198.0,-8.55,176.0,-18.71
3645,達邁,TSE,75.4,77.75,86.12,42,3,"(-388, +11, +42)","(+9, +8, +3)",1673,【散戶套牢資 / 留意斷頭】,False,False,True,70.2,1.15,60.1,-13.4
6005,群益證,TSE,34.65,34.98,37.37,42,-5,"(+43, +5, +42)","(+11, -9, -5)",6611,【散戶套牢資 / 留意斷頭】,False,False,True,34.45,4.39,32.75,-0.76
6197,佳必琪,TSE,325.5,333.8,349.58,41,-12,"(-43, +129, +41)","(-75, -14, -12)",2296,【散戶套牢資 / 留意斷頭】,False,False,True,315.5,3.61,265.5,-12.81
3041,揚智,TSE,25.55,25.97,27.81,40,-17,"(+48, +77, +40)","(-3, +10, -17)",1428,【散戶套牢資 / 留意斷頭】,False,False,True,24.2,4.09,20.15,-13.33
7402,邑錡,OTC,127.5,135.71,120.54,39,2,"(-176, +102, +39)","(+12, +14, +2)",2784,一般資增,False,False,False,110.0,-5.98,94.0,-19.66
6432,今展科,OTC,73.0,74.04,76.49,38,-2,"(-31, +49, +38)","(-126, -52, -2)",1328,【散戶套牢資 / 留意斷頭】,False,False,True,72.4,9.53,70.3,6.35
2331,精英,TSE,20.4,20.58,21.13,36,-6,"(+53, -70, +36)","(-4, -25, -6)",1589,【散戶套牢資 / 留意斷頭】,False,False,True,19.75,1.8,17.45,-10.05
2891,中信金,TSE,63.0,65.08,67.41,36,-2,"(-1484, +665, +36)","(+27, -15, -2)",62755,【散戶套牢資 / 留意斷頭】,False,False,True,63.5,2.25,63.1,1.61
8086,宏捷科,OTC,127.0,131.7,143.75,34,-2,"(-228, +506, +34)","(-8, +5, -2)",1901,【散戶套牢資 / 留意斷頭】,False,False,True,123.0,3.8,103.0,-13.08
4915,致伸,TSE,66.9,67.7,68.14,33,0,"(+1, +66, +33)","(+0, +2, +0)",1694,【散戶套牢資 / 留意斷頭】,False,False,True,65.5,0.92,63.6,-2.0
5464,霖宏,OTC,85.4,88.56,94.37,33,84,"(+1231, +168, +33)","(-5, +48, +84)",1299,【散戶套牢資 / 留意斷頭】,False,False,True,81.0,3.71,59.5,-23.82
6962,奕力-KY,TSE,33.16,33.67,36.22,31,2,"(-5, -223, +31)","(-9, +0, +2)",1924,【散戶套牢資 / 留意斷頭】,False,False,True,31.86,1.54,29.0,-7.57
8069,元太,OTC,178.03,186.25,193.9,29,0,"(-875, +253, +29)","(-3, +0, +0)",4766,【散戶套牢資 / 留意斷頭】,False,False,True,192.0,9.33,182.0,3.64
3694,海華,TSE,62.09,63.75,60.64,28,0,"(-95, -48, +28)","(+19, -13, +0)",3580,一般資增,False,False,False,61.8,6.66,49.0,-15.43
4976,佳凌,TSE,35.3,36.43,38.31,28,-3,"(-63, +18, +28)","(-8, -13, -3)",1094,【散戶套牢資 / 留意斷頭】,False,False,True,32.15,-2.72,33.95,2.72
6155,鈞寶,TSE,66.8,68.86,81.34,27,0,"(-180, +95, +27)","(-22, +2, +0)",2141,【散戶套牢資 / 留意斷頭】,False,False,True,58.1,-3.49,46.6,-22.59
6234,高僑,OTC,40.0,42.16,45.58,24,2,"(-121, +14, +24)","(-38, -1, +2)",1081,【散戶套牢資 / 留意斷頭】,False,False,True,35.55,-3.27,29.35,-20.14
2637,慧洋-KY,TSE,82.5,83.58,77.78,22,4,"(+153, +102, +22)","(-4, -3, +4)",2824,一般資增,False,False,False,81.3,2.39,78.1,-1.64
3443,創意,TSE,4185.0,4187.0,4596.5,21,1,"(-61, +34, +21)","(-7, +1, +1)",1318,【散戶套牢資 / 留意斷頭】,False,False,True,4380.0,14.21,3460.0,-9.78
6412,群電,TSE,83.5,85.88,91.06,20,0,"(-103, +12, +20)","(-3, +1, +0)",1206,【散戶套牢資 / 留意斷頭】,False,False,True,82.4,4.44,75.4,-4.44
4949,有成精密,TSE,76.7,78.8,80.54,19,5,"(+20, +51, +19)","(-3, -4, +5)",1229,【散戶套牢資 / 留意斷頭】,False,False,True,71.0,2.75,55.0,-20.41
1513,中興電,TSE,167.0,167.7,170.61,18,-145,"(-5, -351, +18)","(+215, -101, -145)",2958,【散戶套牢資 / 留意斷頭】,False,False,True,160.0,0.95,147.0,-7.26
2890,永豐金,TSE,37.98,38.15,38.18,18,-34,"(+356, -4, +18)","(-33, +0, -34)",26242,【散戶套牢資 / 留意斷頭】,False,False,True,38.2,0.19,38.85,1.9
2401,凌陽,TSE,30.0,31.46,32.44,17,-3,"(-376, +61, +17)","(-6, -17, -3)",6553,【散戶套牢資 / 留意斷頭】,False,False,True,28.2,2.92,23.45,-14.42
6156,松上,OTC,26.3,27.05,27.31,17,9,"(-113, +84, +17)","(+6, -5, +9)",2808,【散戶套牢資 / 留意斷頭】,False,False,True,23.8,-2.26,19.55,-19.71
5864,致和證,OTC,36.05,36.92,40.87,16,7,"(-288, +145, +16)","(+8, +0, +7)",3402,【散戶套牢資 / 留意斷頭】,False,False,True,33.6,1.2,27.75,-16.42
3044,健鼎,TSE,422.0,431.4,482.49,14,1,"(-26, +37, +14)","(+3, -1, +1)",2548,【散戶套牢資 / 留意斷頭】,False,False,True,406.0,2.14,342.0,-13.96
3661,世芯-KY,TSE,3770.0,3915.0,4188.5,13,-12,"(-111, -51, +13)","(+26, -26, -12)",1679,【散戶套牢資 / 留意斷頭】,False,False,True,3510.0,0.86,2785.0,-19.97
4540,全球傳動,TSE,56.5,57.08,58.99,13,-5,"(-1127, -20, +13)","(-11, +4, -5)",1453,【散戶套牢資 / 留意斷頭】,False,False,True,52.6,1.94,42.2,-18.22
6672,騰輝電子-KY,TSE,267.5,274.0,283.07,13,16,"(-174, +107, +13)","(-11, +3, +16)",2237,【散戶套牢資 / 留意斷頭】,False,False,True,231.0,-4.15,181.0,-24.9
6244,茂迪,OTC,26.36,26.42,26.93,12,-41,"(-80, +69, +12)","(-54, +2, -41)",2323,【散戶套牢資 / 留意斷頭】,False,False,True,25.35,-1.78,20.4,-20.96
1612,宏泰,TSE,31.7,32.37,34.17,11,0,"(+20, +12, +11)","(+1, -1, +0)",1271,【散戶套牢資 / 留意斷頭】,False,False,True,31.1,0.16,29.6,-4.67
8016,矽創,TSE,295.0,319.3,326.88,10,1,"(-227, +101, +10)","(-82, -1, +1)",1863,【散戶套牢資 / 留意斷頭】,False,False,True,298.0,4.2,254.5,-11.01
3709,鑫聯大投控,OTC,78.0,79.14,75.96,9,-2,"(+9, -6, +9)","(+8, +14, -2)",1478,一般資增,False,False,False,74.4,0.54,66.0,-10.81
5314,世紀*,OTC,64.2,65.9,64.13,8,-36,"(-36, +159, +8)","(+17, -10, -36)",6030,一般資增,False,False,False,57.0,-3.72,47.25,-20.19
8076,伍豐,OTC,24.05,24.97,25.27,8,0,"(+107, -26, +8)","(-9, -1, +0)",1105,【散戶套牢資 / 留意斷頭】,False,False,True,23.95,5.04,22.0,-3.51
3504,揚明光,TSE,69.6,73.64,79.71,5,-1,"(-58, +81, +5)","(-11, -7, -1)",1526,【散戶套牢資 / 留意斷頭】,False,False,True,64.7,1.09,62.3,-2.66
8261,富鼎,TSE,278.5,301.4,286.78,4,-40,"(-640, +275, +4)","(-96, -22, -40)",3068,【散戶套牢資 / 留意斷頭】,False,False,True,235.0,-6.37,158.0,-37.05
2385,群光,TSE,105.5,105.7,106.83,3,-8,"(-46, -11, +3)","(-6, +0, -8)",2971,【散戶套牢資 / 留意斷頭】,False,False,True,106.0,3.41,104.5,1.95
8070,長華*,TSE,51.2,51.78,54.42,3,-5,"(-291, -29, +3)","(+5, +2, -5)",3221,【散戶套牢資 / 留意斷頭】,False,False,True,48.3,0.42,41.55,-13.62
3163,波若威,OTC,614.46,626.86,662.12,1,-3,"(-185, +2, +1)","(-5, -2, -3)",1613,【散戶套牢資 / 留意斷頭】,False,False,True,645.87,16.72,495.0,-10.55
8289,泰藝,OTC,52.4,54.78,59.86,1,13,"(+22, +28, +1)","(-43, +4, +13)",1195,【散戶套牢資 / 留意斷頭】,False,False,True,44.1,-6.77,36.65,-22.52
